date,close,open,high,low,open,high,low,open,high,low,open,high,low,open,high,low
1.11.1993,9.929,9.57,9.987,9.518,9.57,9.694,9.545,9.518,9.645,9.4941,9.645,9.694,9.518,9.518,9.619,9.2263
2.11.1993,10.58,10.195,10.637,10.087,9.57,9.987,9.518,9.57,9.694,9.545,9.518,9.645,9.4941,9.645,9.694,9.518
3.11.1993,10.555,10.605,10.637,10.431,10.195,10.637,10.087,9.57,9.987,9.518,9.57,9.694,9.545,9.518,9.645,9.4941
4.11.1993,10.346,10.454,10.504,10.27,10.605,10.637,10.431,10.195,10.637,10.087,9.57,9.987,9.518,9.57,9.694,9.545
5.11.1993,10.37,10.346,10.431,10.27,10.454,10.504,10.27,10.605,10.637,10.431,10.195,10.637,10.087,9.57,9.987,9.518
8.11.1993,10.454,10.454,10.555,10.406,10.346,10.431,10.27,10.454,10.504,10.27,10.605,10.637,10.431,10.195,10.637,10.087
9.11.1993,10.222,10.504,10.531,10.195,10.454,10.555,10.406,10.346,10.431,10.27,10.454,10.504,10.27,10.605,10.637,10.431
10.11.1993,10.37,10.296,10.431,10.195,10.504,10.531,10.195,10.454,10.555,10.406,10.346,10.431,10.27,10.454,10.504,10.27
11.11.1993,10.814,10.454,10.896,10.431,10.296,10.431,10.195,10.504,10.531,10.195,10.454,10.555,10.406,10.346,10.431,10.27
12.11.1993,10.738,10.873,10.922,10.714,10.454,10.896,10.431,10.296,10.431,10.195,10.504,10.531,10.195,10.454,10.555,10.406
15.11.1993,10.605,10.738,10.738,10.58,10.873,10.922,10.714,10.454,10.896,10.431,10.296,10.431,10.195,10.504,10.531,10.195
16.11.1993,10.973,10.637,11.021,10.555,10.738,10.738,10.58,10.873,10.922,10.714,10.454,10.896,10.431,10.296,10.431,10.195
17.11.1993,10.786,11.13,11.281,10.786,10.637,11.021,10.555,10.738,10.738,10.58,10.873,10.922,10.714,10.454,10.896,10.431
18.11.1993,10.973,10.873,11.047,10.838,11.13,11.281,10.786,10.637,11.021,10.555,10.738,10.738,10.58,10.873,10.922,10.714
19.11.1993,10.786,10.873,10.947,10.714,10.873,11.047,10.838,11.13,11.281,10.786,10.637,11.021,10.555,10.738,10.738,10.58
22.11.1993,10.814,10.786,10.922,10.738,10.873,10.947,10.714,10.873,11.047,10.838,11.13,11.281,10.786,10.637,11.021,10.555
23.11.1993,11.047,10.896,11.074,10.786,10.786,10.922,10.738,10.873,10.947,10.714,10.873,11.047,10.838,11.13,11.281,10.786
24.11.1993,11.466,11.23,11.49,11.183,10.896,11.074,10.786,10.786,10.922,10.738,10.873,10.947,10.714,10.873,11.047,10.838
26.11.1993,11.599,11.547,11.65,11.466,11.23,11.49,11.183,10.896,11.074,10.786,10.786,10.922,10.738,10.873,10.947,10.714
29.11.1993,11.316,11.65,11.673,11.316,11.547,11.65,11.466,11.23,11.49,11.183,10.896,11.074,10.786,10.786,10.922,10.738
30.11.1993,11.207,11.341,11.466,11.183,11.65,11.673,11.316,11.547,11.65,11.466,11.23,11.49,11.183,10.896,11.074,10.786
1.12.1993,11.047,11.388,11.388,11.047,11.341,11.466,11.183,11.65,11.673,11.316,11.547,11.65,11.466,11.23,11.49,11.183
2.12.1993,11.183,11.074,11.255,11.074,11.388,11.388,11.047,11.341,11.466,11.183,11.65,11.673,11.316,11.547,11.65,11.466
3.12.1993,11.13,11.23,11.23,11.047,11.074,11.255,11.074,11.388,11.388,11.047,11.341,11.466,11.183,11.65,11.673,11.316
6.12.1993,11.183,11.021,11.316,10.973,11.23,11.23,11.047,11.074,11.255,11.074,11.388,11.388,11.047,11.341,11.466,11.183
7.12.1993,11.183,11.255,11.281,11.074,11.021,11.316,10.973,11.23,11.23,11.047,11.074,11.255,11.074,11.388,11.388,11.047
8.12.1993,11.207,11.207,11.255,11.105,11.255,11.281,11.074,11.021,11.316,10.973,11.23,11.23,11.047,11.074,11.255,11.074
9.12.1993,11.155,11.207,11.255,11.074,11.207,11.255,11.105,11.255,11.281,11.074,11.021,11.316,10.973,11.23,11.23,11.047
10.12.1993,11.49,11.23,11.547,11.207,11.207,11.255,11.074,11.207,11.255,11.105,11.255,11.281,11.074,11.021,11.316,10.973
13.12.1993,11.933,11.622,12.014,11.515,11.23,11.547,11.207,11.207,11.255,11.074,11.207,11.255,11.105,11.255,11.281,11.074
14.12.1993,11.673,11.908,11.933,11.65,11.622,12.014,11.515,11.23,11.547,11.207,11.207,11.255,11.074,11.207,11.255,11.105
15.12.1993,11.832,11.673,11.983,11.573,11.908,11.933,11.65,11.622,12.014,11.515,11.23,11.547,11.207,11.207,11.255,11.074
16.12.1993,11.958,11.908,11.983,11.881,11.673,11.983,11.573,11.908,11.933,11.65,11.622,12.014,11.515,11.23,11.547,11.207
17.12.1993,12.426,12.014,12.457,12.014,11.908,11.983,11.881,11.673,11.983,11.573,11.908,11.933,11.65,11.622,12.014,11.515
20.12.1993,12.14,12.324,12.349,12.115,12.014,12.457,12.014,11.908,11.983,11.881,11.673,11.983,11.573,11.908,11.933,11.65
21.12.1993,12.192,12.115,12.3,12.092,12.324,12.349,12.115,12.014,12.457,12.014,11.908,11.983,11.881,11.673,11.983,11.573
22.12.1993,12.324,12.216,12.324,12.165,12.115,12.3,12.092,12.324,12.349,12.115,12.014,12.457,12.014,11.908,11.983,11.881
23.12.1993,12.192,12.324,12.349,12.165,12.216,12.324,12.165,12.115,12.3,12.092,12.324,12.349,12.115,12.014,12.457,12.014
27.12.1993,12.3,12.192,12.324,12.066,12.324,12.349,12.165,12.216,12.324,12.165,12.115,12.3,12.092,12.324,12.349,12.115
28.12.1993,12.14,12.25,12.349,12.115,12.192,12.324,12.066,12.324,12.349,12.165,12.216,12.324,12.165,12.115,12.3,12.092
29.12.1993,12.092,12.165,12.216,12.092,12.25,12.349,12.115,12.192,12.324,12.066,12.324,12.349,12.165,12.216,12.324,12.165
30.12.1993,11.857,12.066,12.14,11.832,12.165,12.216,12.092,12.25,12.349,12.115,12.192,12.324,12.066,12.324,12.349,12.165
31.12.1993,11.749,11.784,11.933,11.723,12.066,12.14,11.832,12.165,12.216,12.092,12.25,12.349,12.115,12.192,12.324,12.066
3.01.1994,11.983,11.832,12.014,11.832,11.784,11.933,11.723,12.066,12.14,11.832,12.165,12.216,12.092,12.25,12.349,12.115
4.01.1994,12.275,12.092,12.3,12.066,11.832,12.014,11.832,11.784,11.933,11.723,12.066,12.14,11.832,12.165,12.216,12.092
5.01.1994,12.375,12.275,12.457,12.165,12.092,12.3,12.066,11.832,12.014,11.832,11.784,11.933,11.723,12.066,12.14,11.832
6.01.1994,12.165,12.483,12.483,12.165,12.275,12.457,12.165,12.092,12.3,12.066,11.832,12.014,11.832,11.784,11.933,11.723
7.01.1994,12.25,12.165,12.349,12.066,12.483,12.483,12.165,12.275,12.457,12.165,12.092,12.3,12.066,11.832,12.014,11.832
10.01.1994,12.324,12.25,12.375,12.165,12.165,12.349,12.066,12.483,12.483,12.165,12.275,12.457,12.165,12.092,12.3,12.066
11.01.1994,12.192,12.3,12.349,12.165,12.25,12.375,12.165,12.165,12.349,12.066,12.483,12.483,12.165,12.275,12.457,12.165
12.01.1994,12.092,12.216,12.25,12.092,12.3,12.349,12.165,12.25,12.375,12.165,12.165,12.349,12.066,12.483,12.483,12.165
13.01.1994,12.216,12.115,12.275,12.115,12.216,12.25,12.092,12.3,12.349,12.165,12.25,12.375,12.165,12.165,12.349,12.066
14.01.1994,12.192,12.216,12.375,12.14,12.115,12.275,12.115,12.216,12.25,12.092,12.3,12.349,12.165,12.25,12.375,12.165
17.01.1994,11.958,12.165,12.165,11.881,12.216,12.375,12.14,12.115,12.275,12.115,12.216,12.25,12.092,12.3,12.349,12.165
18.01.1994,11.881,11.933,11.933,11.723,12.165,12.165,11.881,12.216,12.375,12.14,12.115,12.275,12.115,12.216,12.25,12.092
19.01.1994,11.65,11.807,11.857,11.599,11.933,11.933,11.723,12.165,12.165,11.881,12.216,12.375,12.14,12.115,12.275,12.115
20.01.1994,11.49,11.622,11.622,11.466,11.807,11.857,11.599,11.933,11.933,11.723,12.165,12.165,11.881,12.216,12.375,12.14
